CODIGO,DESCRIPCION,GRUPO_CODIGO,GRUPO_DESCRIPCION,ES_GRUPO,ORDEN
0100,INGRESOS,0100,INGRESOS,S,100
0108,INCREMENTO EN SNP 3.3 %,0100,INGRESOS,N,108
0110,INCREMENTO AFILIACIÓN A AFP 3.00%,0100,INGRESOS,N,110
0114,VACACIONES TRUNCAS,0100,INGRESOS,N,114
0117,COMPENSACIÓN VACACIONAL,0100,INGRESOS,N,117
0118,REMUNERACIÓN VACACIONAL,0100,INGRESOS,N,118
0121,REMUNERACIÓN O JORNAL BÁSICO,0100,INGRESOS,N,121
0122,REMUNERACIÓN PERMANENTE,0100,INGRESOS,N,122
0129,ESTIPENDIO INTERNO CIENCIAS SALUD,0100,INGRESOS,N,129
0300,INGRESOS: BONIFICACIONES,0300,INGRESOS: BONIFICACIONES,S,300
0301,BONIF. POR 25 Y 30 AÑOS DE SERVICIO,0300,INGRESOS: BONIFICACIONES,N,301
0306,BONIFICACIONES REGULARES,0300,INGRESOS: BONIFICACIONES,N,306
0400,INGRESOS:GRATIFICACIONES/AGUINALDOS,0400,INGRESOS:GRATIFICACIONES/AGUINALDOS,S,400
0404,AGUINALDOS DE JULIO Y DICIEMBRE,0400,INGRESOS:GRATIFICACIONES/AGUINALDOS,N,404
0406,GRATIF. F.PATRIAS NAVIDAD LEY 29351 Y 30334,0400,INGRESOS:GRATIFICACIONES/AGUINALDOS,N,406
0411,GRAT INT SALUD DU090-2020 Y O NO GRAV,0400,INGRESOS:GRATIFICACIONES/AGUINALDOS,N,411
0700,DESCUENTOS AL TRABAJADOR,0700,DESCUENTOS AL TRABAJADOR,S,700
0701,ADELANTO,0700,DESCUENTOS AL TRABAJADOR,N,701
0702,CUOTA SINDICAL,0700,DESCUENTOS AL TRABAJADOR,N,702
0703,DESC. AUTORIZADO MANDATO JUDICIAL,0700,DESCUENTOS AL TRABAJADOR,N,703
0704,TARDANZAS,0700,DESCUENTOS AL TRABAJADOR,N,704
0706,OTROS DESC NO DEDUC DE BASE IMPONIB,0700,DESCUENTOS AL TRABAJADOR,N,706
0707,OTROS DESC DEDUC DE BASE IMPONIBLE,0700,DESCUENTOS AL TRABAJADOR,N,707
0900,CONCEPTOS VARIOS,0900,CONCEPTOS VARIOS,S,900
0904,COMPENSACIÓN TIEMPO DE SERVICIOS,0900,CONCEPTOS VARIOS,N,904
0907,LICENCIA CON GOCE DE HABER,0900,CONCEPTOS VARIOS,N,907
